,timestep,samples,flow,density,velocity
450,1200,200,2371.9464,21.147000000000002,111.88405800000001
451,1500,300,2383.4592,21.147000000000002,112.42719
452,1800,300,2332.0296,21.147000000000002,110.001078
453,2100,300,2374.9848,21.147000000000002,112.027266
454,2400,300,2432.9448,21.147000000000002,114.761286
455,2700,300,2329.4375999999997,21.147000000000002,109.878876
456,3000,300,2426.8896000000004,21.147000000000002,114.47568
457,3300,300,2347.0416,21.147000000000002,110.70939600000001
458,3600,300,2336.9544,21.147000000000002,110.233494
459,3900,300,2400.444,21.147000000000002,113.228226
460,4200,300,2383.2936,21.147000000000002,112.419252
461,4500,300,2435.2848000000004,21.147000000000002,114.87155400000002
462,4800,300,2260.4903999999997,21.147000000000002,106.626564
463,5100,300,2381.6808,21.147000000000002,112.34305799999998
464,5400,300,2361.7512,21.147000000000002,111.40307999999999
465,5700,300,2431.2168,21.147000000000002,114.67969199999999
466,6000,300,2405.3544,21.147000000000002,113.459994
467,6300,300,2315.5416,21.147000000000002,109.22353199999999
468,6600,300,2271.384,21.147000000000002,107.140536
469,6900,300,2404.0656,21.147000000000002,113.39919
470,7200,300,2417.7528,21.147000000000002,114.04481399999999
471,7500,300,2263.9103999999998,21.147000000000002,106.78797
472,7800,300,2363.508,21.147000000000002,111.48607799999999
473,8100,300,2452.1112000000003,21.147000000000002,115.66551600000001
474,8400,300,2354.3712,21.147000000000002,111.05494199999998
475,8700,300,2327.6592,21.147000000000002,109.79496
476,9000,300,2396.5704,21.147000000000002,113.045436
477,9300,300,2330.3448000000003,21.147000000000002,109.921644
478,9600,300,2366.6256,21.147000000000002,111.633174
479,9900,300,2317.9103999999998,21.147000000000002,109.33520400000002
480,1200,200,2426.8032,22.610000000000003,107.06482800000002
481,1500,300,2416.2984,22.610000000000003,106.601724
482,1800,300,2407.2552,22.610000000000003,106.20288000000001
483,2100,300,2291.6088,22.610000000000003,101.100636
484,2400,300,2326.3488,22.610000000000003,102.633588
485,2700,300,2350.3104,22.610000000000003,103.69053000000001
486,3000,300,2284.3656,22.610000000000003,100.781334
487,3300,300,2339.9856,22.610000000000003,103.235094
488,3600,300,2246.9832,22.610000000000003,99.132012
