,timestep,samples,flow,density,velocity
1083,2100,300,2124.0000000000005,24.94415,91.43998200000001
1084,2400,300,2133.5976,24.88164,97.72239600000002
1085,2700,300,1492.7975999999999,33.28724,85.93986600000001
1086,3000,300,1260.0,54.877129999999994,29.91087
1087,3300,300,2193.6024,24.26718,90.16936199999999
1088,3600,300,1992.0024,31.80429,69.230592
1089,3900,300,1454.4,43.48435,39.386142
1090,4200,300,1521.5976,40.392100000000006,43.830288
1091,4500,300,2049.6024,27.5709,74.15199
1092,4800,300,1967.9976,24.69677,79.485354
1093,5100,300,1315.2024,48.34417,34.390494000000004
1094,5400,300,1778.4,36.95538,51.72633000000001
1095,5700,300,1956.0023999999999,36.06827,57.637548
1096,6000,300,1908.0,28.92484,65.798514
1097,6300,300,1488.0023999999999,41.57314,40.447728
1098,6600,300,1804.8024000000003,38.06061,49.612500000000004
1099,6900,300,1999.2024,31.147270000000002,64.949094
1100,7200,300,1598.4000000000003,29.0206,63.69732
1101,7500,300,1776.0024,36.89021,48.60729
1102,7800,300,1804.8024000000003,30.52882,58.96913400000001
1103,8100,300,1927.2024,38.28405,51.404219999999995
1104,8400,300,1447.1999999999998,46.16962,37.800000000000004
1105,8700,300,1836.0,34.965700000000005,56.689416
1106,9000,300,1999.2024,29.41561,68.83218
1107,9300,300,1848.0023999999999,30.96905,66.15351
1108,9600,300,1430.4024,50.18888,32.771466000000004
1109,9900,300,1787.9976,33.107690000000005,60.33501
1111,1500,300,1252.8,46.08583,38.637918000000006
1112,1800,300,995.9975999999999,55.10722,33.297858
1115,2700,300,1070.4024,57.23256,25.062804000000003
1116,3000,300,1346.4,48.49579,36.770058000000006
1117,3300,300,2078.4024,24.14748,85.857516
1118,3600,300,2068.7976,24.30442,84.90906000000001
1119,3900,300,1156.8024,52.39136,29.856870000000004
1120,4200,300,1706.4,31.11269,62.756964
1121,4500,300,1884.0023999999999,31.65932,66.849948
1122,4800,300,2018.3976,29.16291,72.338184
1123,5100,300,1296.0,51.300760000000004,30.149982
1124,5400,300,1692.0,37.032520000000005,48.477473999999994
1125,5700,300,2073.6,28.07098,76.087512
1126,6000,300,1718.4024000000002,36.32895,60.463422
1127,6300,300,1353.6,47.12988,31.29894
1128,6600,300,1850.4,33.48142,59.035824
1129,6900,300,2244.0024000000003,23.0223,97.22889
1130,7200,300,1355.9976,45.118919999999996,34.368840000000006
1131,7500,300,1591.2,41.90963,42.352956000000006
1132,7800,300,1855.2024,27.56691,69.361704
1133,8100,300,1895.9976,35.58415,56.67948
1134,8400,300,1596.0024,38.974320000000006,44.93772
1135,8700,300,1596.0024,41.883030000000005,41.527242
1136,9000,300,1867.1976,33.07045,67.118274
1137,9300,300,1823.9976,32.69672,57.19734
1138,9600,300,1687.1976,39.80557,49.43727
1139,9900,300,1740.0023999999999,37.82121,51.303726000000005
1141,1500,300,1262.3976,40.261759999999995,50.88933
1142,1800,300,907.2,64.16053,22.014288
1143,2100,300,2107.2024,27.28362,80.98768799999999
1144,2400,300,2471.9976,21.5327,114.51672
1145,2700,300,1039.1976,56.221759999999996,25.191702000000003
1146,3000,300,1564.7975999999999,38.149719999999995,52.509221999999994
1147,3300,300,1908.0,33.1436,57.423384
1148,3600,300,2064.0024,27.21313,75.656484
1149,3900,300,1089.5976,58.093070000000004,24.264305999999998
1150,4200,300,1891.2024,33.97485,61.106345999999995
1151,4500,300,1836.0,32.27777,56.738825999999996
1152,4800,300,1778.4,32.44003,59.567616
1153,5100,300,1384.7976,46.72423,33.00831
1154,5400,300,1840.8023999999998,26.87132,75.839382
1155,5700,300,1855.2024,28.356930000000002,65.261052
1156,6000,300,1617.6024,39.24431,44.105364
1157,6300,300,1655.9999999999998,37.334430000000005,50.893056
1158,6600,300,1812.0023999999999,32.13546,57.032586
1159,6900,300,1809.5975999999998,37.71747,52.825446
1160,7200,300,1502.4024,45.7786,37.040922
1161,7500,300,1687.1976,38.97964,46.910124
1162,7800,300,1886.4,34.42306,59.241996
1163,8100,300,1744.7975999999999,39.16052,45.472913999999996
1164,8400,300,1442.3976,43.29549,41.259240000000005
1165,8700,300,1797.6024,34.26745,55.946592
1166,9000,300,1903.1976000000002,28.28511,81.10216799999999
1167,9300,300,1607.9976,37.0405,50.566572
1168,9600,300,1584.0000000000002,36.09886,56.192724
1169,9900,300,1761.6024000000002,38.34523,48.048227999999995
1171,1500,300,1252.8,46.50611,37.13790600000001
1172,1800,300,955.2024,52.80632,31.097466
1173,2100,300,2015.9999999999998,26.98304,75.773556
1175,2700,300,1195.1999999999998,48.558299999999996,32.584356
1176,3000,300,1319.9976,46.49281,41.32474200000001
1177,3300,300,1838.3975999999998,36.259789999999995,53.17520400000001
1178,3600,300,2198.3976,21.7854,100.660482
1179,3900,300,1101.6,65.86692000000001,24.16473
1180,4200,300,1603.2024000000001,45.67486,45.075474
1181,4500,300,1677.6000000000001,36.95538,50.763078
1182,4800,300,2133.5976,25.45354,88.222284
1183,5100,300,1185.6024,51.8833,28.071252
1184,5400,300,1641.6,37.02454,55.531602
1185,5700,300,1915.2,31.96389,65.19247200000001
1186,6000,300,1732.8024,36.98464,58.696974
1187,6300,300,1571.9976000000001,42.43498,40.322772
1188,6600,300,1531.2024,40.83632,43.00533
1189,6900,300,1888.7976000000003,31.21377,62.124030000000005
1190,7200,300,1615.1975999999997,32.56904,58.18041000000001
1191,7500,300,1653.6024,35.479079999999996,47.079522000000004
1192,7800,300,1751.9976000000001,40.763169999999995,46.957806000000005
1193,8100,300,1670.3999999999999,40.06492,49.86467999999999
1194,8400,300,1653.6024,43.206379999999996,43.537014
1195,8700,300,1663.2,36.176,50.84413200000001
1196,9000,300,1696.8023999999998,38.97033,48.386160000000004
1197,9300,300,1704.0024,42.9856,45.664236
1198,9600,300,1723.1976000000002,40.29767,44.11000799999999
1199,9900,300,1632.0024,42.00007,43.851186
1201,1500,300,1149.6024,52.32885,29.051783999999998
1202,1800,300,827.9999999999999,66.14356,20.206962
1203,2100,300,2042.4024,27.01097,77.985882
1204,2400,300,2280.0024,21.710919999999998,104.75433
1205,2700,300,1187.9999999999998,46.26139,37.996344
1206,3000,300,1187.9999999999998,56.70189,27.872748
1207,3300,300,1869.6023999999998,33.48541,56.440044
1208,3600,300,2018.3976,38.2774,53.845884000000005
1209,3900,300,1262.3976,43.980439999999994,41.044104
1210,4200,300,1521.5976,42.811370000000004,42.493086
1211,4500,300,1931.9976000000004,27.013630000000003,76.351302
1212,4800,300,1759.1976,38.27075,49.27775400000001
